country_code,scientific_name
NP,Arborophila torqueola
NP,Arborophila rufogularis
NP,Pavo cristatus
NP,Coturnix coturnix
NP,Coturnix coromandelica
NP,Synoicus chinensis
NP,Tetraogallus himalayensis
NP,Tetraogallus tibetanus
NP,Alectoris chukar
NP,Lerwa lerwa
NP,Perdicula asiatica
NP,Francolinus francolinus
NP,Ortygornis pondicerianus
NP,Ortygornis gularis
NP,Gallus gallus
NP,Lophophorus impejanus
NP,Tragopan satyra
NP,Ithaginis cruentus
NP,Pucrasia macrolopha
NP,Catreus wallichii
NP,Lophura leucomelanos
NP,Perdix hodgsoniae
NP,Dendrocygna bicolor
NP,Dendrocygna javanica
NP,Cygnus cygnus
NP,Cygnus columbianus
NP,Anser indicus
NP,Anser anser
NP,Clangula hyemalis
NP,Bucephala clangula
NP,Mergellus albellus
NP,Mergus merganser
NP,Tadorna ferruginea
NP,Sarkidiornis melanotos
NP,Nettapus coromandelianus
NP,Netta rufina
NP,Aythya ferina
NP,Aythya baeri
NP,Aythya nyroca
NP,Aythya fuligula
NP,Aythya marila
NP,Rhodonessa caryophyllacea
NP,Spatula querquedula
NP,Spatula clypeata
NP,Mareca falcata
NP,Mareca strepera
NP,Mareca penelope
NP,Anas poecilorhyncha
NP,Anas platyrhynchos
NP,Anas acuta
NP,Anas crecca
NP,Tachybaptus ruficollis
NP,Podiceps cristatus
NP,Podiceps nigricollis
NP,Phoenicopterus roseus
NP,Columba rupestris
NP,Columba leuconota
NP,Columba palumbus
NP,Columba hodgsonii
NP,Columba pulchricollis
NP,Streptopelia orientalis
NP,Streptopelia decaocto
NP,Streptopelia tranquebarica
NP,Spilopelia suratensis
NP,Spilopelia senegalensis
NP,Macropygia unchall
NP,Chalcophaps indica
NP,Treron bicinctus
NP,Treron phayrei
NP,Treron curvirostra
NP,Treron phoenicopterus
NP,Treron apicauda
NP,Treron sphenurus
NP,Ducula badia
NP,Caprimulgus jotaka
NP,Caprimulgus macrurus
NP,Caprimulgus asiaticus
NP,Caprimulgus affinis
NP,Hemiprocne coronata
NP,Zoonavena sylvatica
NP,Hirundapus caudacutus
NP,Hirundapus cochinchinensis
NP,Aerodramus brevirostris
NP,Cypsiurus balasiensis
NP,Tachymarptis melba
NP,Apus pacificus
NP,Apus nipalensis
NP,Apus apus
NP,Centropus sinensis
NP,Centropus bengalensis
NP,Taccocua leschenaultii
NP,Phaenicophaeus tristis
NP,Clamator jacobinus
NP,Clamator coromandus
NP,Eudynamys scolopaceus
NP,Chrysococcyx maculatus
NP,Cacomantis sonneratii
NP,Cacomantis passerinus
NP,Surniculus dicruroides
NP,Hierococcyx sparverioides
NP,Hierococcyx varius
NP,Hierococcyx nisicolor
NP,Cuculus micropterus
NP,Cuculus canorus
NP,Cuculus saturatus
NP,Cuculus poliocephalus
NP,Rallina eurizonoides
NP,Rallus indicus
NP,Zapornia fusca
NP,Zapornia akool
NP,Zapornia pusilla
NP,Zapornia bicolor
NP,Amaurornis phoenicurus
NP,Gallicrex cinerea
NP,Porphyrio porphyrio
NP,Gallinula chloropus
NP,Fulica atra
NP,Anthropoides virgo
NP,Grus antigone
NP,Grus grus
NP,Houbaropsis bengalensis
NP,Sypheotides indicus
NP,Leptoptilos dubius
NP,Leptoptilos javanicus
NP,Mycteria leucocephala
NP,Anastomus oscitans
NP,Ciconia nigra
NP,Ciconia episcopus
NP,Ciconia ciconia
NP,Ephippiorhynchus asiaticus
NP,Platalea leucorodia
NP,Threskiornis melanocephalus
NP,Pseudibis papillosa
NP,Plegadis falcinellus
NP,Botaurus stellaris
NP,Ixobrychus sinensis
NP,Ixobrychus cinnamomeus
NP,Ixobrychus flavicollis
NP,Gorsachius melanolophus
NP,Nycticorax nycticorax
NP,Butorides striata
NP,Ardeola grayii
NP,Bubulcus ibis
NP,Ardea cinerea
NP,Ardea insignis
NP,Ardea purpurea
NP,Ardea alba
NP,Ardea intermedia
NP,Egretta garzetta
NP,Pelecanus philippensis
NP,Microcarbo niger
NP,Phalacrocorax carbo
NP,Anhinga melanogaster
NP,Burhinus indicus
NP,Esacus recurvirostris
NP,Ibidorhyncha struthersii
NP,Himantopus himantopus
NP,Pluvialis squatarola
NP,Pluvialis fulva
NP,Charadrius placidus
NP,Charadrius dubius
NP,Charadrius alexandrinus
NP,Charadrius atrifrons
NP,Charadrius leschenaultii
NP,Vanellus vanellus
NP,Vanellus duvaucelii
NP,Vanellus malabaricus
NP,Vanellus cinereus
NP,Vanellus indicus
NP,Rostratula benghalensis
NP,Hydrophasianus chirurgus
NP,Metopidius indicus
NP,Numenius phaeopus
NP,Numenius arquata
NP,Limosa lapponica
NP,Limosa limosa
NP,Arenaria interpres
NP,Calidris tenuirostris
NP,Calidris canutus
NP,Calidris pugnax
NP,Calidris falcinellus
NP,Calidris ferruginea
NP,Calidris temminckii
NP,Calidris subminuta
NP,Calidris alba
NP,Calidris alpina
NP,Calidris minuta
NP,Scolopax rusticola
NP,Gallinago solitaria
NP,Gallinago nemoricola
NP,Gallinago stenura
NP,Gallinago gallinago
NP,Lymnocryptes minimus
NP,Actitis hypoleucos
NP,Tringa ochropus
NP,Tringa erythropus
NP,Tringa nebularia
NP,Tringa totanus
NP,Tringa glareola
NP,Tringa stagnatilis
NP,Turnix sylvaticus
NP,Turnix tanki
NP,Turnix suscitator
NP,Cursorius coromandelicus
NP,Glareola maldivarum
NP,Glareola lactea
NP,Rynchops albicollis
NP,Larus brunnicephalus
NP,Larus ridibundus
NP,Larus ichthyaetus
NP,Sternula albifrons
NP,Hydroprogne caspia
NP,Chlidonias hybrida
NP,Chlidonias leucopterus
NP,Sterna aurantia
NP,Sterna hirundo
NP,Sterna acuticauda
NP,Tyto longimembris
NP,Tyto alba
NP,Ninox scutulata
NP,Athene brama
NP,Athene noctua
NP,Glaucidium brodiei
NP,Glaucidium cuculoides
NP,Glaucidium radiatum
NP,Otus lettia
NP,Otus bakkamoena
NP,Otus spilocephalus
NP,Otus sunia
NP,Asio otus
NP,Asio flammeus
NP,Strix leptogrammica
NP,Strix nivicolum
NP,Bubo bubo
NP,Bubo bengalensis
NP,Bubo nipalensis
NP,Bubo coromandus
NP,Ketupa zeylonensis
NP,Ketupa flavipes
NP,Pandion haliaetus
NP,Elanus caeruleus
NP,Pernis ptilorhynchus
NP,Aviceda jerdoni
NP,Aviceda leuphotes
NP,Gypaetus barbatus
NP,Neophron percnopterus
NP,Spilornis cheela
NP,Circaetus gallicus
NP,Sarcogyps calvus
NP,Gyps himalayensis
NP,Gyps bengalensis
NP,Gyps tenuirostris
NP,Gyps fulvus
NP,Aegypius monachus
NP,Nisaetus nipalensis
NP,Nisaetus cirrhatus
NP,Lophotriorchis kienerii
NP,Ictinaetus malaiensis
NP,Clanga hastata
NP,Clanga clanga
NP,Aquila rapax
NP,Aquila nipalensis
NP,Aquila heliaca
NP,Aquila chrysaetos
NP,Aquila fasciata
NP,Hieraaetus pennatus
NP,Circus aeruginosus
NP,Circus cyaneus
NP,Circus macrourus
NP,Circus melanoleucos
NP,Circus pygargus
NP,Accipiter trivirgatus
NP,Accipiter badius
NP,Accipiter virgatus
NP,Accipiter nisus
NP,Accipiter gentilis
NP,Haliaeetus leucoryphus
NP,Haliaeetus albicilla
NP,Icthyophaga humilis
NP,Icthyophaga ichthyaetus
NP,Haliastur indus
NP,Milvus migrans
NP,Butastur teesa
NP,Buteo buteo
NP,Buteo refectus
NP,Buteo rufinus
NP,Buteo hemilasius
NP,Harpactes erythrocephalus
NP,Buceros bicornis
NP,Ocyceros birostris
NP,Anthracoceros albirostris
NP,Aceros nipalensis
NP,Upupa epops
NP,Nyctyornis athertoni
NP,Merops orientalis
NP,Merops leschenaulti
NP,Merops philippinus
NP,Coracias benghalensis
NP,Coracias affinis
NP,Eurystomus orientalis
NP,Alcedo meninting
NP,Alcedo atthis
NP,Megaceryle lugubris
NP,Ceryle rudis
NP,Pelargopsis capensis
NP,Halcyon coromanda
NP,Halcyon smyrnensis
NP,Psilopogon haemacephalus
NP,Psilopogon cyanotis
NP,Psilopogon virens
NP,Psilopogon lineatus
NP,Psilopogon zeylanicus
NP,Psilopogon franklinii
NP,Psilopogon asiaticus
NP,Indicator xanthonotus
NP,Jynx torquilla
NP,Sasia ochracea
NP,Picumnus innominatus
NP,Blythipicus pyrrhotis
NP,Chrysocolaptes guttacristatus
NP,Chrysocolaptes festivus
NP,Dinopium shorii
NP,Dinopium benghalense
NP,Gecinulus grantia
NP,Micropternus brachyurus
NP,Chrysophlegma flavinucha
NP,Picus chlorolophus
NP,Picus xanthopygaeus
NP,Picus guerini
NP,Picus squamatus
NP,Mulleripicus pulverulentus
NP,Picoides canicapillus
NP,Picoides nanus
NP,Leiopicus mahrattensis
NP,Leiopicus auriceps
NP,Dryobates cathpharius
NP,Dendrocopos hyperythrus
NP,Dendrocopos macei
NP,Dendrocopos darjellensis
NP,Dendrocopos himalayensis
NP,Microhierax caerulescens
NP,Falco naumanni
NP,Falco tinnunculus
NP,Falco chicquera
NP,Falco amurensis
NP,Falco columbarius
NP,Falco subbuteo
NP,Falco severus
NP,Falco jugger
NP,Falco cherrug
NP,Falco peregrinus
NP,Loriculus vernalis
NP,Himalayapsitta himalayana
NP,Himalayapsitta roseata
NP,Himalayapsitta cyanocephala
NP,Psittacula alexandri
NP,Alexandrinus krameri
NP,Palaeornis eupatria
NP,Hydrornis nipalensis
NP,Pitta brachyura
NP,Pitta sordida
NP,Psarisomus dalhousiae
NP,Serilophus rubropygius
NP,Oriolus traillii
NP,Oriolus xanthornus
NP,Oriolus kundoo
NP,Oriolus tenuirostris
NP,Pteruthius rufiventer
NP,Pteruthius aeralatus
NP,Pteruthius xanthochlorus
NP,Pteruthius melanotis
NP,Erpornis zantholeuca
NP,Pericrocotus cinnamomeus
NP,Pericrocotus solaris
NP,Pericrocotus brevirostris
NP,Pericrocotus ethologus
NP,Pericrocotus flammeus
NP,Pericrocotus roseus
NP,Coracina javensis
NP,Lalage melaschistos
NP,Lalage melanoptera
NP,Artamus fuscus
NP,Hemipus picatus
NP,Tephrodornis virgatus
NP,Tephrodornis pondicerianus
NP,Aegithina tiphia
NP,Rhipidura aureola
NP,Rhipidura albicollis
NP,Dicrurus macrocercus
NP,Dicrurus leucophaeus
NP,Dicrurus caerulescens
NP,Dicrurus annectens
NP,Dicrurus aeneus
NP,Dicrurus remifer
NP,Dicrurus hottentottus
NP,Dicrurus paradiseus
NP,Hypothymis azurea
NP,Terpsiphone paradisi
NP,Terpsiphone affinis
NP,Lanius cristatus
NP,Lanius phoenicuroides
NP,Lanius isabellinus
NP,Lanius vittatus
NP,Lanius schach
NP,Lanius tephronotus
NP,Lanius excubitor
NP,Dendrocitta vagabunda
NP,Dendrocitta formosae
NP,Pyrrhocorax pyrrhocorax
NP,Pyrrhocorax graculus
NP,Urocissa flavirostris
NP,Urocissa erythroryncha
NP,Cissa chinensis
NP,Garrulus bispecularis
NP,Garrulus lanceolatus
NP,Nucifraga caryocatactes
NP,Nucifraga hemispila
NP,Nucifraga multipunctata
NP,Corvus corax
NP,Corvus macrorhynchos
NP,Chelidorhynx hypoxanthus
NP,Culicicapa ceylonensis
NP,Cephalopyrus flammiceps
NP,Sylviparus modestus
NP,Melanochlora sultanea
NP,Periparus ater
NP,Periparus rufonuchalis
NP,Periparus rubidiventris
NP,Lophophanes dichrous
NP,Pseudopodoces humilis
NP,Parus monticolus
NP,Parus major
NP,Machlolophus xanthogenys
NP,Machlolophus spilonotus
NP,Eremopterix griseus
NP,Mirafra javanica
NP,Mirafra assamica
NP,Alaudala raytal
NP,Calandrella acutirostris
NP,Calandrella dukhunensis
NP,Eremophila alpestris
NP,Alauda gulgula
NP,Galerida cristata
NP,Cisticola juncidis
NP,Cisticola exilis
NP,Prinia crinigera
NP,Prinia atrogularis
NP,Prinia cinereocapilla
NP,Prinia hodgsonii
NP,Prinia gracilis
NP,Prinia sylvatica
NP,Prinia flaviventris
NP,Prinia socialis
NP,Prinia inornata
NP,Orthotomus sutorius
NP,Arundinax aedon
NP,Iduna caligata
NP,Acrocephalus bistrigiceps
NP,Acrocephalus dumetorum
NP,Acrocephalus agricola
NP,Acrocephalus concinens
NP,Acrocephalus stentoreus
NP,Pnoepyga immaculata
NP,Pnoepyga pusilla
NP,Pnoepyga albiventer
NP,Helopsaltes certhiola
NP,Locustella lanceolata
NP,Locustella luteoventris
NP,Locustella tacsanowskia
NP,Locustella thoracica
NP,Megalurus palustris
NP,Schoenicola striatus
NP,Delichon dasypus
NP,Delichon nipalense
NP,Petrochelidon fluvicola
NP,Hirundo rustica
NP,Ptyonoprogne rupestris
NP,Ptyonoprogne concolor
NP,Riparia chinensis
NP,Riparia riparia
NP,Riparia diluta
NP,Alophoixus flaveolus
NP,Hemixos flavala
NP,Ixos mcclellandii
NP,Hypsipetes leucocephalus
NP,Alcurus striatus
NP,Rubigula flaviventris
NP,Pycnonotus jocosus
NP,Pycnonotus leucogenys
NP,Pycnonotus cafer
NP,Phylloscopus inornatus
NP,Phylloscopus humei
NP,Phylloscopus chloronotus
NP,Phylloscopus pulcher
NP,Phylloscopus maculipennis
NP,Phylloscopus fuscatus
NP,Phylloscopus fuligiventer
NP,Phylloscopus tristis
NP,Phylloscopus tytleri
NP,Phylloscopus griseolus
NP,Phylloscopus affinis
NP,Phylloscopus intermedius
NP,Phylloscopus poliogenys
NP,Phylloscopus burkii
NP,Phylloscopus whistleri
NP,Phylloscopus castaniceps
NP,Phylloscopus trochiloides
NP,Phylloscopus magnirostris
NP,Phylloscopus cantator
NP,Phylloscopus reguloides
NP,Phylloscopus occipitalis
NP,Phylloscopus xanthoschistos
NP,Tesia olivea
NP,Tesia cyaniventer
NP,Cettia major
NP,Cettia brunnifrons
NP,Cettia castaneocoronata
NP,Hemitesia pallidipes
NP,Abroscopus superciliaris
NP,Abroscopus albogularis
NP,Abroscopus schisticeps
NP,Tickellia hodgsoni
NP,Horornis fortipes
NP,Horornis brunnescens
NP,Horornis flavolivaceus
NP,Leptopoecile sophiae
NP,Aegithalos iredalei
NP,Aegithalos niveogularis
NP,Aegithalos iouschistos
NP,Curruca curruca
NP,Myzornis pyrrhoura
NP,Lioparus chrysotis
NP,Chrysomma sinense
NP,Chrysomma altirostre
NP,Fulvetta vinipectus
NP,Fulvetta ludlowi
NP,Paradoxornis aemodium
NP,Paradoxornis unicolor
NP,Suthora fulvifrons
NP,Staphida castaniceps
NP,Yuhina nigrimenta
NP,Yuhina flavicollis
NP,Yuhina bakeri
NP,Yuhina occipitalis
NP,Yuhina gularis
NP,Zosterops palpebrosus
NP,Spelaeornis caudatus
NP,Pomatorhinus ferruginosus
NP,Pomatorhinus superciliaris
NP,Pomatorhinus schisticeps
NP,Pomatorhinus ruficollis
NP,Erythrogenys erythrogenys
NP,Stachyris nigriceps
NP,Stachyris humei
NP,Dumetia hyperythra
NP,Timalia pileata
NP,Mixornis gularis
NP,Cyanoderma chrysaeum
NP,Cyanoderma pyrrhops
NP,Cyanoderma ruficeps
NP,Gampsorhynchus rufulus
NP,Schoeniparus cinereus
NP,Schoeniparus castaneceps
NP,Laticilla burnesii
NP,Pellorneum ruficeps
NP,Malacocincla abbotti
NP,Napothera malacoptila
NP,Graminicola bengalensis
NP,Alcippe nipalensis
NP,Grammatoptila striata
NP,Cutia nipalensis
NP,Argya malcolmi
NP,Argya longirostris
NP,Argya striata
NP,Argya earlei
NP,Argya caudata
NP,Acanthoptila nipalensis
NP,Garrulax monileger
NP,Garrulax leucolophus
NP,Ianthocincla ocellata
NP,Ianthocincla rufogularis
NP,Pterorhinus pectoralis
NP,Pterorhinus albogularis
NP,Pterorhinus caerulatus
NP,Pterorhinus ruficollis
NP,Trochalopteron subunicolor
NP,Trochalopteron squamatum
NP,Trochalopteron lineatum
NP,Trochalopteron variegatum
NP,Trochalopteron affine
NP,Trochalopteron erythrocephalum
NP,Heterophasia picaoides
NP,Heterophasia capistrata
NP,Leiothrix argentauris
NP,Leiothrix lutea
NP,Leioptila annectens
NP,Minla ignotincta
NP,Liocichla phoenicea
NP,Sibia nipalensis
NP,Siva cyanouroptera
NP,Chrysominla strigula
NP,Actinodura egertoni
NP,Certhia nipalensis
NP,Certhia discolor
NP,Certhia himalayana
NP,Certhia hodgsoni
NP,Sitta cashmirensis
NP,Sitta castanea
NP,Sitta cinnamoventris
NP,Sitta himalayensis
NP,Sitta leucopsis
NP,Sitta frontalis
NP,Tichodroma muraria
NP,Troglodytes troglodytes
NP,Cinclus cinclus
NP,Cinclus pallasii
NP,Sturnus vulgaris
NP,Pastor roseus
NP,Gracupica contra
NP,Sturnia pagodarum
NP,Sturnia malabarica
NP,Acridotheres ginginianus
NP,Acridotheres fuscus
NP,Saroglossa spilopterus
NP,Gracula religiosa
NP,Grandala coelicolor
NP,Zoothera dixoni
NP,Zoothera mollissima
NP,Zoothera salimalii
NP,Zoothera marginata
NP,Zoothera monticola
NP,Zoothera aurea
NP,Cochoa purpurea
NP,Cochoa viridis
NP,Geokichla sibirica
NP,Geokichla wardii
NP,Geokichla citrina
NP,Turdus viscivorus
NP,Turdus boulboul
NP,Turdus unicolor
NP,Turdus maximus
NP,Turdus albocinctus
NP,Turdus rubrocanus
NP,Turdus eunomus
NP,Turdus atrogularis
NP,Turdus ruficollis
NP,Copsychus saularis
NP,Copsychus fulicatus
NP,Copsychus malabaricus
NP,Muscicapa sibirica
NP,Muscicapa ferruginea
NP,Muscicapa dauurica
NP,Niltava sundara
NP,Niltava macgrigoriae
NP,Niltava grandis
NP,Anthipes monileger
NP,Eumyias thalassinus
NP,Cyornis unicolor
NP,Cyornis poliogenys
NP,Cyornis magnirostris
NP,Cyornis tickelliae
NP,Cyornis rubeculoides
NP,Heteroxenicus stellatus
NP,Brachypteryx leucophris
NP,Brachypteryx cruralis
NP,Larvivora brunnea
NP,Larvivora cyane
NP,Luscinia phaenicuroides
NP,Luscinia svecica
NP,Calliope calliope
NP,Calliope pectoralis
NP,Calliope tschebaiewi
NP,Myiomela leucura
NP,Tarsiger hyperythrus
NP,Tarsiger cyanurus
NP,Tarsiger rufilatus
NP,Tarsiger indicus
NP,Tarsiger chrysaeus
NP,Enicurus scouleri
NP,Enicurus schistaceus
NP,Enicurus immaculatus
NP,Enicurus maculatus
NP,Myophonus caeruleus
NP,Ficedula erithacus
NP,Ficedula tricolor
NP,Ficedula hyperythra
NP,Ficedula hodgsoni
NP,Ficedula strophiata
NP,Ficedula sapphira
NP,Ficedula superciliaris
NP,Ficedula westermanni
NP,Ficedula ruficauda
NP,Ficedula albicilla
NP,Ficedula subrubra
NP,Phoenicurus erythronotus
NP,Phoenicurus frontalis
NP,Phoenicurus coeruleocephala
NP,Phoenicurus schisticeps
NP,Phoenicurus leucocephalus
NP,Phoenicurus fuliginosus
NP,Phoenicurus ochruros
NP,Phoenicurus erythrogastrus
NP,Phoenicurus hodgsoni
NP,Monticola cinclorhyncha
NP,Monticola rufiventris
NP,Monticola solitarius
NP,Saxicola jerdoni
NP,Saxicola ferreus
NP,Saxicola insignis
NP,Saxicola caprata
NP,Saxicola leucurus
NP,Saxicola torquatus
NP,Oenanthe deserti
NP,Oenanthe fusca
NP,Regulus regulus
NP,Bombycilla garrulus
NP,Elachura formosa
NP,Irena puella
NP,Chloropsis aurifrons
NP,Chloropsis hardwickii
NP,Dicaeum melanozanthum
NP,Dicaeum chrysorrheum
NP,Dicaeum agile
NP,Dicaeum erythrorhynchos
NP,Dicaeum minullum
NP,Dicaeum cruentatum
NP,Dicaeum ignipectus
NP,Arachnothera longirostra
NP,Arachnothera magna
NP,Chalcoparia singalensis
NP,Cinnyris asiaticus
NP,Aethopyga ignicauda
NP,Aethopyga saturata
NP,Aethopyga nipalensis
NP,Aethopyga gouldiae
NP,Aethopyga siparaja
NP,Prunella himalayana
NP,Prunella collaris
NP,Prunella immaculata
NP,Prunella rubeculoides
NP,Prunella strophiata
NP,Prunella fulvescens
NP,Prunella atrogularis
NP,Ploceus benghalensis
NP,Ploceus manyar
NP,Ploceus philippinus
NP,Ploceus megarhynchus
NP,Amandava amandava
NP,Euodice malabarica
NP,Lonchura striata
NP,Lonchura punctulata
NP,Lonchura atricapilla
NP,Passer cinnamomeus
NP,Passer montanus
NP,Gymnoris xanthocollis
NP,Montifringilla adamsi
NP,Onychostruthus taczanowskii
NP,Pyrgilauda ruficollis
NP,Pyrgilauda blanfordi
NP,Anthus trivialis
NP,Anthus hodgsoni
NP,Anthus cervinus
NP,Anthus roseatus
NP,Anthus spinoletta
NP,Anthus sylvanus
NP,Anthus richardi
NP,Anthus rufulus
NP,Anthus godlewskii
NP,Anthus similis
NP,Motacilla flava
NP,Motacilla cinerea
NP,Motacilla citreola
NP,Motacilla tschutschensis
NP,Motacilla maderaspatensis
NP,Motacilla alba
NP,Fringilla coelebs
NP,Fringilla montifringilla
NP,Mycerobas icterioides
NP,Mycerobas affinis
NP,Mycerobas melanozanthos
NP,Mycerobas carnipes
NP,Carpodacus erythrinus
NP,Carpodacus sipahi
NP,Carpodacus pulcherrimus
NP,Carpodacus edwardsii
NP,Carpodacus rodochroa
NP,Carpodacus rodopeplus
NP,Carpodacus vinaceus
NP,Carpodacus rubicilloides
NP,Carpodacus rubicilla
NP,Carpodacus puniceus
NP,Carpodacus subhimachalus
NP,Carpodacus thura
NP,Pyrrhula nipalensis
NP,Pyrrhula erythrocephala
NP,Pyrrhula erythaca
NP,Bucanetes mongolicus
NP,Agraphospiza rubescens
NP,Callacanthis burtoni
NP,Pyrrhoplectes epauletta
NP,Procarduelis nipalensis
NP,Leucosticte nemoricola
NP,Leucosticte brandti
NP,Chloris spinoides
NP,Linaria flavirostris
NP,Loxia curvirostra
NP,Carduelis caniceps
NP,Serinus pusillus
NP,Spinus thibetanus
NP,Emberiza lathami
NP,Emberiza melanocephala
NP,Emberiza bruniceps
NP,Emberiza fucata
NP,Emberiza cia
NP,Emberiza leucocephalos
NP,Emberiza aureola
NP,Emberiza pusilla
NP,Emberiza spodocephala
NP,Emberiza rutila
